gene_symbol,entrez_id,probe_name
C8G,733,A_23_P20713
C9,735,CUST_15185_PI416261804
C9,735,A_32_P203917
MRPL49,740,A_23_P138819
MRPL49,740,A_24_P232500
MRPL49,740,A_24_P201491
ZNHIT2,741,CUST_1334_PI416261804
ZNHIT2,741,A_23_P329286
MPPED2,744,A_23_P52888
MYRF,745,CUST_6483_PI416261804
MYRF,745,A_23_P75790
TMEM258,746,CUST_5997_PI416261804
TMEM258,746,A_23_P47527
DAGLA,747,CUST_7076_PI416261804
DAGLA,747,A_24_P115967
GAS8-AS1,750,CUST_5613_PI416261804
GAS8-AS1,750,A_23_P344515
FMNL1,752,CUST_1069_PI416261804
FMNL1,752,A_24_P390668
PTTG1IP,754,A_24_P391260
PTTG1IP,754,A_23_P109345
CFAP410,755,CUST_6217_PI416261804
CFAP410,755,A_23_P211167
TMEM50B,757,A_23_P57304
TMEM50B,757,A_24_P305623
CA1,759,A_23_P156708
CA1,759,A_24_P23995
CA1,759,CUST_8275_PI416261804
CA2,760,CUST_16131_PI416261804
CA2,760,A_23_P8913
CA3,761,CUST_8906_PI416261804
CA3,761,A_23_P20316
CA4,762,CUST_348_PI417507815
SERPINA6,866,A_23_P117363
CBL,867,A_23_P339191
CBL,867,A_23_P53226
CBLB,868,A_23_P29830
CBLB,868,A_23_P212715
CBLN1,869,CUST_6778_PI416261804
CBLN1,869,A_24_P313431
SERPINH1,871,A_23_P76006
CBR1,873,CUST_11292_PI416261804
CBR1,873,A_23_P29046
CBR3,874,A_24_P934477
CBR3,874,A_23_P40453
CBS,875,A_24_P48856
CBS,875,A_23_P166306
CCIN,881,CUST_4674_PI416261804
CCIN,881,A_23_P60227
KYAT1,883,A_23_P315206
KYAT1,883,CUST_12690_PI416261804
CCK,885,CUST_147_PI416408490
CCK,885,A_23_P425681
CCKBR,887,CUST_15594_PI416261804
CCKBR,887,CUST_149_PI416408490
CCKBR,887,A_23_P162010
CCNA2,890,CUST_12111_PI416261804
CCNA2,890,A_23_P58321
CCNB1,891,CUST_16017_PI416261804
CCNB1,891,A_23_P122197
CCND2,894,A_24_P270235
CCND2,894,A_23_P139881
CCND2,894,A_24_P278747
CCND3,896,A_23_P214464
CCNE1,898,CUST_14613_PI416261804
CCNE1,898,A_23_P209200
CCNF,899,A_23_P37954
CCNF,899,A_24_P193592
CCNG2,901,A_24_P12065
CCNG2,901,A_24_P80532
CCNG2,901,A_23_P110122
CCNH,902,CUST_13558_PI416261804
CCNH,902,A_23_P30338
CCNT1,904,CUST_1055_PI416573500
CCNT1,904,A_23_P87575
CCNT1,904,CUST_1089_PI416379584
CD1A,909,A_23_P402670
CD1A,909,A_23_P63167
CD1B,910,CUST_9021_PI416261804
CD1B,910,A_23_P351844
CD1C,911,CUST_6790_PI416261804
CD1C,911,A_23_P51767
CD1D,912,A_24_P11208
CD1D,912,A_23_P74575
CD1E,913,A_23_P201160
CD1E,913,A_23_P310410
CD2,914,CUST_16055_PI416261804
CD2,914,A_23_P161076
CD3D,915,A_23_P138985
CD3E,916,A_24_P86968
CD3E,916,A_23_P416747
CD3G,917,CUST_16206_PI416261804
CD3G,917,A_23_P98410
CD247,919,CUST_12222_PI416261804
CD247,919,A_23_P34676
CD4,920,CUST_16941_PI416261804
CD4,920,A_24_P295999
CD5,921,CUST_1067_PI416573500
CD5,921,CUST_1101_PI416379584
CD5L,922,CUST_15243_PI416261804
CD5L,922,A_23_P126584
CD6,923,A_23_P139162
CD6,923,A_23_P311875
CD7,924,CUST_16047_PI416261804
CD7,924,A_23_P431815
CD8A,925,CUST_12384_PI416261804
CD8A,925,CUST_12389_PI416261804
CD8A,925,CUST_12388_PI416261804
CD8A,925,A_32_P163247
CD9,928,CUST_16939_PI416261804
CD9,928,A_23_P76364
CD19,930,CUST_9454_PI416261804
CD19,930,A_23_P113572
MS4A1,931,CUST_13243_PI416261804
MS4A1,931,A_23_P116371
MS4A3,932,CUST_1481_PI416261804
CD22,933,CUST_15659_PI416261804
CD22,933,A_23_P209055
CD24,100133941,A_23_P85250
CD24,100133941,A_32_P231250
CD27,939,CUST_16473_PI416261804
CD27,939,A_23_P48088
CD28,940,CUST_14770_PI416261804
CD28,940,A_23_P91095
CD80,941,A_23_P155632
CD80,941,A_24_P320033
CD86,942,CUST_14729_PI416261804
CD86,942,A_23_P109988
CD86,942,A_24_P131589
TNFRSF8,943,CUST_14395_PI416261804
